
[Name]
btm_1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-4.99999989e-03, -1.00000005e-03, 1.49999996e-05, -1.31486267e+02, 0.00000000e+00, 0.00000000e+00, -4.99999989e-03, -1.00000005e-03
-4.99999989e-03, -1.00000005e-03, -1.49999996e-05, -1.31486267e+02, 0.00000000e+00, 0.00000000e+00, -4.99999989e-03, -1.00000005e-03
-4.91666654e-03, -1.00000005e-03, -1.49999996e-05, -1.31354218e+02, 0.00000000e+00, 0.00000000e+00, -4.91666654e-03, -1.00000005e-03
-4.91666654e-03, -1.00000005e-03, 1.49999996e-05, -1.31354218e+02, 0.00000000e+00, 0.00000000e+00, -4.91666654e-03, -1.00000005e-03
-4.83333319e-03, -1.00000005e-03, -1.49999996e-05, -1.31025726e+02, 0.00000000e+00, 0.00000000e+00, -4.83333319e-03, -1.00000005e-03
-4.83333319e-03, -1.00000005e-03, 1.49999996e-05, -1.31025726e+02, 0.00000000e+00, 0.00000000e+00, -4.83333319e-03, -1.00000005e-03
-4.74999985e-03, -1.00000005e-03, -1.49999996e-05, -1.30437485e+02, 0.00000000e+00, 0.00000000e+00, -4.74999985e-03, -1.00000005e-03
-4.74999985e-03, -1.00000005e-03, 1.49999996e-05, -1.30437485e+02, 0.00000000e+00, 0.00000000e+00, -4.74999985e-03, -1.00000005e-03
-4.66666650e-03, -1.00000005e-03, -1.49999996e-05, -1.29555084e+02, 0.00000000e+00, 0.00000000e+00, -4.66666650e-03, -1.00000005e-03
-4.66666650e-03, -1.00000005e-03, 1.49999996e-05, -1.29555084e+02, 0.00000000e+00, 0.00000000e+00, -4.66666650e-03, -1.00000005e-03
-4.58333315e-03, -1.00000005e-03, -1.49999996e-05, -1.28749390e+02, 0.00000000e+00, 0.00000000e+00, -4.58333315e-03, -1.00000005e-03
-4.58333315e-03, -1.00000005e-03, 1.49999996e-05, -1.28749390e+02, 0.00000000e+00, 0.00000000e+00, -4.58333315e-03, -1.00000005e-03
-4.49999981e-03, -1.00000005e-03, -1.49999996e-05, -1.28224731e+02, 0.00000000e+00, 0.00000000e+00, -4.49999981e-03, -1.00000005e-03
-4.49999981e-03, -1.00000005e-03, 1.49999996e-05, -1.28224731e+02, 0.00000000e+00, 0.00000000e+00, -4.49999981e-03, -1.00000005e-03
-4.41666646e-03, -1.00000005e-03, -1.49999996e-05, -1.27842056e+02, 0.00000000e+00, 0.00000000e+00, -4.41666646e-03, -1.00000005e-03
-4.41666646e-03, -1.00000005e-03, 1.49999996e-05, -1.27842056e+02, 0.00000000e+00, 0.00000000e+00, -4.41666646e-03, -1.00000005e-03
-4.33333311e-03, -1.00000005e-03, -1.49999996e-05, -1.27505173e+02, 0.00000000e+00, 0.00000000e+00, -4.33333311e-03, -1.00000005e-03
-4.33333311e-03, -1.00000005e-03, 1.49999996e-05, -1.27505173e+02, 0.00000000e+00, 0.00000000e+00, -4.33333311e-03, -1.00000005e-03
-4.25000023e-03, -1.00000005e-03, -1.49999996e-05, -1.27173454e+02, 0.00000000e+00, 0.00000000e+00, -4.25000023e-03, -1.00000005e-03
-4.25000023e-03, -1.00000005e-03, 1.49999996e-05, -1.27173454e+02, 0.00000000e+00, 0.00000000e+00, -4.25000023e-03, -1.00000005e-03
-4.16666688e-03, -1.00000005e-03, -1.49999996e-05, -1.26821739e+02, 0.00000000e+00, 0.00000000e+00, -4.16666688e-03, -1.00000005e-03
-4.16666688e-03, -1.00000005e-03, 1.49999996e-05, -1.26821739e+02, 0.00000000e+00, 0.00000000e+00, -4.16666688e-03, -1.00000005e-03
-4.08333354e-03, -1.00000005e-03, -1.49999996e-05, -1.26423531e+02, 0.00000000e+00, 0.00000000e+00, -4.08333354e-03, -1.00000005e-03
-4.08333354e-03, -1.00000005e-03, 1.49999996e-05, -1.26423531e+02, 0.00000000e+00, 0.00000000e+00, -4.08333354e-03, -1.00000005e-03
-4.00000019e-03, -1.00000005e-03, -1.49999996e-05, -1.25966202e+02, 0.00000000e+00, 0.00000000e+00, -4.00000019e-03, -1.00000005e-03
-4.00000019e-03, -1.00000005e-03, 1.49999996e-05, -1.25966202e+02, 0.00000000e+00, 0.00000000e+00, -4.00000019e-03, -1.00000005e-03
-3.91666684e-03, -1.00000005e-03, -1.49999996e-05, -1.25461060e+02, 0.00000000e+00, 0.00000000e+00, -3.91666684e-03, -1.00000005e-03
-3.91666684e-03, -1.00000005e-03, 1.49999996e-05, -1.25461060e+02, 0.00000000e+00, 0.00000000e+00, -3.91666684e-03, -1.00000005e-03
-3.83333326e-03, -1.00000005e-03, -1.49999996e-05, -1.24925339e+02, 0.00000000e+00, 0.00000000e+00, -3.83333326e-03, -1.00000005e-03
-3.83333326e-03, -1.00000005e-03, 1.49999996e-05, -1.24925339e+02, 0.00000000e+00, 0.00000000e+00, -3.83333326e-03, -1.00000005e-03
-3.74999992e-03, -1.00000005e-03, -1.49999996e-05, -1.24365807e+02, 0.00000000e+00, 0.00000000e+00, -3.74999992e-03, -1.00000005e-03
-3.74999992e-03, -1.00000005e-03, 1.49999996e-05, -1.24365807e+02, 0.00000000e+00, 0.00000000e+00, -3.74999992e-03, -1.00000005e-03
-3.08333337e-03, -1.00000005e-03, 1.49999996e-05, -1.19337128e+02, 0.00000000e+00, 0.00000000e+00, -3.08333337e-03, -1.00000005e-03
-3.08333337e-03, -1.00000005e-03, -1.49999996e-05, -1.19337128e+02, 0.00000000e+00, 0.00000000e+00, -3.08333337e-03, -1.00000005e-03
-3.00000003e-03, -1.00000005e-03, -1.49999996e-05, -1.18679855e+02, 0.00000000e+00, 0.00000000e+00, -3.00000003e-03, -1.00000005e-03
-3.00000003e-03, -1.00000005e-03, 1.49999996e-05, -1.18679855e+02, 0.00000000e+00, 0.00000000e+00, -3.00000003e-03, -1.00000005e-03
-3.66666657e-03, -1.00000005e-03, -1.49999996e-05, -1.23790436e+02, 0.00000000e+00, 0.00000000e+00, -3.66666657e-03, -1.00000005e-03
-3.66666657e-03, -1.00000005e-03, 1.49999996e-05, -1.23790436e+02, 0.00000000e+00, 0.00000000e+00, -3.66666657e-03, -1.00000005e-03
-3.58333322e-03, -1.00000005e-03, -1.49999996e-05, -1.23200729e+02, 0.00000000e+00, 0.00000000e+00, -3.58333322e-03, -1.00000005e-03
-3.58333322e-03, -1.00000005e-03, 1.49999996e-05, -1.23200729e+02, 0.00000000e+00, 0.00000000e+00, -3.58333322e-03, -1.00000005e-03
-3.50000011e-03, -1.00000005e-03, -1.49999996e-05, -1.22593170e+02, 0.00000000e+00, 0.00000000e+00, -3.50000011e-03, -1.00000005e-03
-3.50000011e-03, -1.00000005e-03, 1.49999996e-05, -1.22593170e+02, 0.00000000e+00, 0.00000000e+00, -3.50000011e-03, -1.00000005e-03
-3.41666676e-03, -1.00000005e-03, -1.49999996e-05, -1.21971756e+02, 0.00000000e+00, 0.00000000e+00, -3.41666676e-03, -1.00000005e-03
-3.41666676e-03, -1.00000005e-03, 1.49999996e-05, -1.21971756e+02, 0.00000000e+00, 0.00000000e+00, -3.41666676e-03, -1.00000005e-03
-3.33333341e-03, -1.00000005e-03, -1.49999996e-05, -1.21330345e+02, 0.00000000e+00, 0.00000000e+00, -3.33333341e-03, -1.00000005e-03
-3.33333341e-03, -1.00000005e-03, 1.49999996e-05, -1.21330345e+02, 0.00000000e+00, 0.00000000e+00, -3.33333341e-03, -1.00000005e-03
-3.25000007e-03, -1.00000005e-03, -1.49999996e-05, -1.20674850e+02, 0.00000000e+00, 0.00000000e+00, -3.25000007e-03, -1.00000005e-03
-3.25000007e-03, -1.00000005e-03, 1.49999996e-05, -1.20674850e+02, 0.00000000e+00, 0.00000000e+00, -3.25000007e-03, -1.00000005e-03
-3.16666672e-03, -1.00000005e-03, -1.49999996e-05, -1.20003922e+02, 0.00000000e+00, 0.00000000e+00, -3.16666672e-03, -1.00000005e-03
-3.16666672e-03, -1.00000005e-03, 1.49999996e-05, -1.20003922e+02, 0.00000000e+00, 0.00000000e+00, -3.16666672e-03, -1.00000005e-03

[Name]
btm_2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], X [ m ], Y [ m ]
-3.00000003e-03, -1.00000005e-03, 1.49999996e-05, -1.18679855e+02, 0.00000000e+00, 0.00000000e+00, -3.00000003e-03, -1.00000005e-03
-3.00000003e-03, -1.00000005e-03, -1.49999996e-05, -1.18679855e+02, 0.00000000e+00, 0.00000000e+00, -3.00000003e-03, -1.00000005e-03
-2.91666668e-03, -1.00000005e-03, -1.49999996e-05, -1.17296021e+02, 0.00000000e+00, -8.33333377e-03, -2.91666668e-03, -1.00000005e-03
-2.91666668e-03, -1.00000005e-03, 1.49999996e-05, -1.17296021e+02, 0.00000000e+00, -8.33333377e-03, -2.91666668e-03, -1.00000005e-03
-2.83333333e-03, -1.00000005e-03, -1.49999996e-05, -1.14121704e+02, 0.00000000e+00, -1.66666675e-02, -2.83333333e-03, -1.00000005e-03
-2.83333333e-03, -1.00000005e-03, 1.49999996e-05, -1.14121704e+02, 0.00000000e+00, -1.66666675e-02, -2.83333333e-03, -1.00000005e-03
-2.74999999e-03, -1.00000005e-03, -1.49999996e-05, -1.08896942e+02, 0.00000000e+00, -2.50000004e-02, -2.74999999e-03, -1.00000005e-03
-2.74999999e-03, -1.00000005e-03, 1.49999996e-05, -1.08896942e+02, 0.00000000e+00, -2.50000004e-02, -2.74999999e-03, -1.00000005e-03
-2.66666664e-03, -1.00000005e-03, -1.49999996e-05, -1.01734222e+02, 0.00000000e+00, -3.33333351e-02, -2.66666664e-03, -1.00000005e-03
-2.66666664e-03, -1.00000005e-03, 1.49999996e-05, -1.01734222e+02, 0.00000000e+00, -3.33333351e-02, -2.66666664e-03, -1.00000005e-03
-2.58333329e-03, -1.00000005e-03, -1.49999996e-05, -9.27256165e+01, 0.00000000e+00, -4.16666679e-02, -2.58333329e-03, -1.00000005e-03
-2.58333329e-03, -1.00000005e-03, 1.49999996e-05, -9.27256165e+01, 0.00000000e+00, -4.16666679e-02, -2.58333329e-03, -1.00000005e-03
-2.49999994e-03, -1.00000005e-03, -1.49999996e-05, -8.19803162e+01, 0.00000000e+00, -5.00000007e-02, -2.49999994e-03, -1.00000005e-03
-2.49999994e-03, -1.00000005e-03, 1.49999996e-05, -8.19803162e+01, 0.00000000e+00, -5.00000007e-02, -2.49999994e-03, -1.00000005e-03
-2.41666660e-03, -1.00000005e-03, -1.49999996e-05, -6.95601883e+01, 0.00000000e+00, -5.83333336e-02, -2.41666660e-03, -1.00000005e-03
-2.41666660e-03, -1.00000005e-03, 1.49999996e-05, -6.95601883e+01, 0.00000000e+00, -5.83333336e-02, -2.41666660e-03, -1.00000005e-03
-2.33333325e-03, -1.00000005e-03, -1.49999996e-05, -5.54561424e+01, 0.00000000e+00, -6.66666627e-02, -2.33333325e-03, -1.00000005e-03
-2.33333325e-03, -1.00000005e-03, 1.49999996e-05, -5.54561424e+01, 0.00000000e+00, -6.66666627e-02, -2.33333325e-03, -1.00000005e-03
-2.24999990e-03, -1.00000005e-03, -1.49999996e-05, -3.96607056e+01, 0.00000000e+00, -7.50000030e-02, -2.24999990e-03, -1.00000005e-03
-2.24999990e-03, -1.00000005e-03, 1.49999996e-05, -3.96607056e+01, 0.00000000e+00, -7.50000030e-02, -2.24999990e-03, -1.00000005e-03
-2.16666656e-03, -1.00000005e-03, -1.49999996e-05, -2.22278099e+01, 0.00000000e+00, -8.33333284e-02, -2.16666656e-03, -1.00000005e-03
-2.16666656e-03, -1.00000005e-03, 1.49999996e-05, -2.22278099e+01, 0.00000000e+00, -8.33333284e-02, -2.16666656e-03, -1.00000005e-03
-2.08333344e-03, -1.00000005e-03, -1.49999996e-05, -3.30991101e+00, 0.00000000e+00, -9.16666687e-02, -2.08333344e-03, -1.00000005e-03
-2.08333344e-03, -1.00000005e-03, 1.49999996e-05, -3.30991101e+00, 0.00000000e+00, -9.16666687e-02, -2.08333344e-03, -1.00000005e-03
-2.00000009e-03, -1.00000005e-03, -1.49999996e-05, 1.70629025e+01, 0.00000000e+00, -9.99999940e-02, -2.00000009e-03, -1.00000005e-03
